32 , 256 , 0.0473
32 , 256 , 0.0445
64 , 256 , 0.0566
64 , 256 , 0.0565
96 , 256 , 0.0839
96 , 256 , 0.0841
128 , 256 , 0.104
128 , 256 , 0.104
192 , 256 , 0.1557
192 , 256 , 0.1571
256 , 256 , 0.207
256 , 256 , 0.2074
32 , 512 , 0.1527
32 , 512 , 0.1531
64 , 512 , 0.3132
64 , 512 , 0.3146
96 , 512 , 0.4609
96 , 512 , 0.4641
128 , 512 , 0.6368
128 , 512 , 0.6396
192 , 512 , 0.9757
192 , 512 , 0.9777
256 , 512 , 1.2574
256 , 512 , 1.2588
32 , 1024 , 1.0834
32 , 1024 , 1.0841
64 , 1024 , 2.1809
64 , 1024 , 2.1838
96 , 1024 , 3.2568
96 , 1024 , 3.2605
128 , 1024 , 4.3176
128 , 1024 , 4.3213
192 , 1024 , 6.469
192 , 1024 , 6.4621
256 , 1024 , 8.6404
256 , 1024 , 8.6493
32 , 2048 , 7.9653
32 , 2048 , 7.9729
64 , 2048 , 16.0681
64 , 2048 , 16.049
96 , 2048 , 24.1652
96 , 2048 , 24.1364
